Age,Occupation,Risk Tolerance,Investment Duration,Financial Goals,Investment Amount,Liquidity Needs,Investment Recommendation,Annual Income
49,Doctor,Medium,Short-term,Emergency Fund,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,988271
47,Engineer,Medium,Long-term,Retirement,356513,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,548917
19,Doctor,High,Long-term,Retirement,497886,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1222522
60,Government Employee,Low,Short-term,Emergency Fund,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,464760
48,Retail Worker,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1230359
49,Self-Employed,Medium,Mid-term,Marriage,394374,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1085306
45,Business Owner,Low,Short-term,Emergency Fund,500000,Medium,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,329118
37,Lawyer,High,Mid-term,Marriage,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1211024
59,Self-Employed,Medium,Long-term,Retirement,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,924500
49,Artist,Medium,Short-term,Emergency Fund,244677,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,802880
32,Business Owner,Medium,Long-term,Retirement,241482,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,388854
43,Artist,Medium,Mid-term,Marriage,110975,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,417601
45,Student,High,Short-term,Emergency Fund,80000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,82589
37,Government Employee,High,Mid-term,Marriage,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1185735
54,Artist,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,847334
24,Engineer,Low,Short-term,Emergency Fund,500000,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,873393
59,Self-Employed,High,Long-term,Retirement,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1117401
62,Business Owner,Low,Long-term,Retirement,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,761654
25,Business Owner,High,Mid-term,Education,492665,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,662205
44,Artist,Medium,Long-term,Retirement,338791,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,763237
54,Self-Employed,Low,Long-term,Retirement,500000,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,763326
24,Banker,Medium,Mid-term,Marriage,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1066051
35,Government Employee,Medium,Long-term,Wealth Building,347010,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1297223
63,Engineer,High,Long-term,Retirement,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,693153
38,Artist,Medium,Long-term,Retirement,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,311591
38,IT Professional,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,1161091
27,Self-Employed,Medium,Mid-term,Marriage,500000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,840583
48,Government Employee,Low,Mid-term,Marriage,343068,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,566410
18,Service Industry,Low,Short-term,Emergency Fund,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1040214
58,IT Professional,High,Long-term,Retirement,460788,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,857860
58,Engineer,High,Long-term,Wealth Building,29781,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,483434
19,Lawyer,Low,Long-term,Wealth Building,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1127912
18,Artist,High,Short-term,Emergency Fund,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,870591
55,Artist,High,Long-term,Retirement,330571,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1104646
36,Business Owner,Low,Long-term,Wealth Building,283691,Medium,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1098346
40,Business Owner,Medium,Long-term,Wealth Building,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1046770
48,Doctor,Low,Short-term,Emergency Fund,286477,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,641084
21,Engineer,Medium,Long-term,Wealth Building,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,387412
20,Service Industry,High,Long-term,Retirement,215166,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1243102
61,Government Employee,High,Short-term,Emergency Fund,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1021553
34,Teacher,Low,Long-term,Wealth Building,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,618467
48,Retail Worker,High,Long-term,Wealth Building,418972,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1088905
25,Teacher,High,Long-term,Retirement,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1152596
37,Retail Worker,High,Short-term,Emergency Fund,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1029365
34,Government Employee,Medium,Mid-term,Marriage,198395,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,464830
64,IT Professional,High,Long-term,Retirement,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,886309
38,Freelancer,Low,Long-term,Wealth Building,455687,High,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,1200722
48,Government Employee,High,Long-term,Retirement,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,968500
46,Lawyer,High,Mid-term,Education,156086,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,379411
27,Doctor,Medium,Short-term,Emergency Fund,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1158382
51,Freelancer,Medium,Long-term,Retirement,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,781028
51,Government Employee,High,Long-term,Retirement,500000,Medium,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1146424
22,Freelancer,High,Mid-term,Marriage,367507,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1212847
49,Freelancer,Medium,Short-term,Emergency Fund,6826,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,562910
30,Government Employee,Low,Short-term,Emergency Fund,500000,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,697628
49,Self-Employed,Medium,Long-term,Wealth Building,232464,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,436086
47,Engineer,Medium,Long-term,Wealth Building,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1136589
29,Retail Worker,High,Short-term,Emergency Fund,332143,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,356941
45,Self-Employed,Medium,Long-term,Retirement,207486,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1284281
62,Service Industry,High,Long-term,Wealth Building,175545,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1105971
49,Self-Employed,Medium,Mid-term,Education,170884,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1200403
27,Engineer,High,Long-term,Wealth Building,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (SIP): 20%,1201067
47,Government Employee,Medium,Long-term,Retirement,158428,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1176198
59,Banker,Medium,Mid-term,Marriage,500000,Medium,Gold Coins: 10%; Gold Bars: 10%; Mutual Funds - Large Cap: 40%; Government Bonds: 30%; Fixed Deposits: 10%,1195347
30,Government Employee,High,Mid-term,Marriage,500000,Low,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,844668
24,Student,High,Long-term,Wealth Building,80000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,56756
56,Consultant,Medium,Short-term,Emergency Fund,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1129654
24,Lawyer,Medium,Long-term,Retirement,500000,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,1163350
19,Engineer,Medium,Mid-term,Marriage,498500,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,886017
55,Banker,Medium,Long-term,Wealth Building,447015,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,840812
54,Retail Worker,High,Mid-term,Marriage,262021,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,1198590
26,Government Employee,Medium,Mid-term,Education,372620,Low,Sovereign Gold Bonds: 10%; Gold Jewelry: 10%; Fixed Deposits: 40%; Government Bonds: 30%; Post Office Schemes: 10%,562937
30,Banker,High,Mid-term,Marriage,500000,High,Stocks: 50%; Mutual Funds - Small Cap: 30%; Mutual Funds - Mid Cap (Lumpsum): 20%,334865
54,Student,Medium,Mid-term,Marriage,80000,High,Mutual Funds - Large Cap: 40%; Mutual Funds - Mid Cap (Lumpsum): 30%; Gold ETFs: 10%; Digital Gold: 10%; Government Bonds: 10%,80914
38,Artist,Low,Mid-term,Education,500000,Low,Government Bonds: 60%; Fixed Deposits: 20%; Post Office Schemes: 20%,533986
32,Teacher,Low,Long-term,Retirement,247908,High,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,619340
27,Business Owner,Low,Long-term,Retirement,102311,Low,Government Schemes: 40%; Post Office Schemes: 30%; Fixed Deposits: 30%,1136022
